TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
d_d001057,D01,d001057,12;2;23;,2022-09-02,2022-09-05,대중교통 등,39세 이하 부부 여행,12;2;23;,2;23;6
c_c005797,D02,c005797,1;24;22;,2022-10-10,2022-10-11,자가용,,1;24;22;,1;24;4
d_d004733,D01,d004733,22;,2022-10-29,2022-10-31,자가용,,22;,22;23;24
d_d001799,D01,d001799,2;21;22;23;,2022-09-30,2022-10-03,대중교통 등,,2;21;22;23;,22;2;23
d_d001610,D01,d001610,1;2;23;,2022-10-01,2022-10-05,대중교통 등,40세 이상 3인 이상 친구,1;2;23;,2;5;6
d_d000079,D01,d000079,12;2;23;28;,2022-08-14,2022-08-17,대중교통 등,40세 이상 자녀 동반 여행,1;,4;28;6
d_d005308,D01,d005308,1;13;22;3;24;27;28;21;12;5;2;,2022-10-25,2022-10-28,대중교통 등,39세 이하 3인 이상 친구,1;13;22;3;24;27;28;21;12;5;2;,22;1;27
d_d004101,D01,d004101,10;,2022-10-11,2022-10-15,자가용,,10;,10;24;21
d_d010596,D01,d010596,2;1;21;22;23;28;23;6;,2022-10-30,2022-11-02,대중교통 등,39세 이하 커플 여행,2;1;21;22;23;28;23;6;,2;5;6
d_d000255,D01,d000255,21;22;27;28;5;,2022-08-30,2022-09-02,대중교통 등,,21;22;27;28;5;,28;5;1
d_d007843,D01,d007843,22;23;24;6;,2022-10-30,2022-11-01,자가용,,22;23;24;22;23;6;23;22;,23;6;22
b_b004552,D02,b004552,2;26;3;4;9;,2022-09-24,2022-09-25,자가용,,2;26;3;4;9;,26;6;2
c_c005312,D02,c005312,21;22;3;4;7;,2022-10-08,2022-10-11,자가용,충청권 외에 거주하는 40세 이상 3인 이상 친구,21;22;3;4;7;,6;1;21
d_d012454,D01,d012454,1;12;13;3;6;,2022-11-10,2022-11-11,,,1;12;13;3;6;,26;28;12
d_d009918,D01,d009918,1;2;3;28;27;23;22;11;7;,2022-11-04,2022-11-07,자가용,,1;2;3;28;27;23;22;11;7;,28;2;22
d_d005281,D01,d005281,2;23;4;,2022-10-11,2022-10-16,대중교통 등,40세 이상 자녀 동반 여행,2;23;4;,2;24;4
d_d003604,D01,d003604,22;26;27;28;8;,2022-10-15,2022-10-17,자가용,,22;26;27;28;8;,22;27;28
d_d002048,D01,d002048,21;24;27;28;5;,2022-10-12,2022-10-15,대중교통 등,,21;24;27;28;5;,21;27;6
d_d002537,D01,d002537,1;10;12;3;6;,2022-10-02,2022-10-05,대중교통 등,,1;10;12;3;6;,12;21;22
d_d001693,D01,d001693,22;28;4;5;6;,2022-09-30,2022-10-05,대중교통 등,,22;28;4;5;6;,28;22;3
d_d006007,D01,d006007,24;28;3;5;8;,2022-10-16,2022-10-19,자가용,,24;28;3;5;8;,28;24;8
c_c002534,D02,c002534,24;27;,2022-09-26,2022-09-28,자가용,,24;27;,8;27;6
d_d003343,D01,d003343,22;26;27;28;,2022-10-09,2022-10-11,자가용,,22;26;27;28;,27;28;22
d_d002531,D01,d002531,10;21;22;3;4;,2022-10-09,2022-10-14,대중교통 등,,10;21;22;3;4;,3;21;23
d_d000349,D01,d000349,1;2;23;4;5;,2022-08-29,2022-09-01,대중교통 등,,1;2;23;4;5;,23;5;2
d_d000928,D01,d000928,1;21;24;26;4;,2022-08-27,2022-08-31,대중교통 등,,1;21;24;26;4;,24;26;10
d_d001091,D01,d001091,12;2;4;5;6;,2022-08-27,2022-08-31,대중교통 등,39세 이하 커플 여행,12;2;4;5;6;,22;26;6
d_d004104,D01,d004104,1;2;3;4;6;,2022-10-10,2022-10-13,자가용,,1;2;3;4;6;,28;3;2
d_d002086,D01,d002086,2;22;27;28;5;,2022-10-15,2022-10-19,대중교통 등,,2;22;27;28;5;,22;24;3
d_d003828,D01,d003828,10;2;22;5;6;,2022-10-08,2022-10-12,자가용,39세 이하 커플 여행,10;2;22;5;6;,24;27;21
c_c002788,D02,c002788,2;21;22;4;,2022-10-08,2022-10-11,자가용,,2;21;22;4;,1;4;9
c_c003306,D02,c003306,24;,2022-10-08,2022-10-10,자가용,,24;,21;23;24
d_d001439,D01,d001439,22;24;25;26;,2022-09-27,2022-09-30,대중교통 등,,22;24;25;26;,22;23;24
a_a003724,D02,a003724,11;22;5;6;,2022-10-01,2022-10-04,자가용,,11;22;5;6;,22;26;11
d_d001463,D01,d001463,1;22;23;6;,2022-09-17,2022-09-21,자가용,,1;22;23;6;,22;1;6
d_d009416,D01,d009416,3;22;26;,2022-11-01,2022-11-06,대중교통 등,,3;22;26;,22;26;2
d_d001062,D01,d001062,11;2;21;4;5;,2022-08-28,2022-08-31,대중교통 등,39세 이하 3인 이상 친구,11;2;21;4;5;,5;2;21
d_d007793,D01,d007793,22;23;26;27;28;,2022-10-25,2022-10-27,대중교통 등,,22;23;26;27;28;,3;22;21
d_d004004,D01,d004004,7;12;28;21;23;,2022-11-05,2022-11-07,자가용,,7;12;28;21;23;,7;12;21
d_d009000,D01,d009000,1;2;3;5;7;,2022-10-27,2022-10-31,대중교통 등,39세 이하 3인 이상 친구,1;2;3;5;7;,6;1;22
d_d009893,D01,d009893,21;27;28;5;,2022-10-29,2022-10-30,자가용,,21;27;28;5;,28;27;21
d_d006379,D01,d006379,2;28;5;,2022-10-16,2022-10-20,대중교통 등,,2;28;5;,28;2;5
d_d004720,D01,d004720,4;,2022-10-15,2022-10-17,자가용,,4;,4;23;1
d_d006337,D01,d006337,22;23;24;,2022-10-30,2022-11-01,대중교통 등,,22;23;24;,23;24;22
d_d002411,D01,d002411,1;10;23;28;,2022-10-26,2022-10-31,대중교통 등,40세 이상 자녀 동반 여행,1;10;23;28;,2;28;21
d_d006908,D01,d006908,22;23;24;27;28;,2022-10-22,2022-10-23,자가용,,22;23;24;27;28;,11;9;6
d_d010264,D01,d010264,1;10;12;4;5;,2022-10-31,2022-11-03,대중교통 등,39세 이하 커플 여행,1;10;12;4;5;,2;5;21
d_d012252,D01,d012252,1;2;27;4;5;,2022-11-05,2022-11-07,자가용,39세 이하 자녀 동반 여행,1;2;27;4;5;,1;2;3
d_d007393,D01,d007393,1;2;3;5;6;,2022-10-26,2022-10-29,자가용,,1;2;3;5;6;,2;6;23
d_d006126,D01,d006126,21;27;5;,2022-10-15,2022-10-17,자가용,,21;27;5;,21;27;5
d_d009496,D01,d009496,1;2;3;4;5;6;7;8;9;11;11;12;13;21;22;24;24;26;27;28;,2022-11-04,2022-11-07,자가용,,1;2;3;4;5;6;7;8;9;11;11;12;13;21;22;24;24;26;27;28;,5;8;7
c_c002438,D02,c002438,27;3;4;9;,2022-09-29,2022-10-02,대중교통 등,호남권 외에 거주하는 40세 이상 3인 이상 친구,27;3;4;9;,3;9;4
d_d007084,D01,d007084,1;10;23;,2022-10-20,2022-10-24,대중교통 등,40세 이상 3대 동반 여행,1;10;23;,23;1;21
d_d000117,D01,d000117,1;,2022-08-20,2022-08-25,대중교통 등,,1;,1;23;5
d_d000424,D01,d000424,12;2;23;28;3;,2022-08-19,2022-08-24,대중교통 등,,12;2;23;28;3;,2;5;3
d_d007014,D01,d007014,1;21;24;3;4;,2022-10-22,2022-10-25,대중교통 등,39세 이하 3인 이상 친구,1;21;24;3;4;,1;22;21
