TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
c004953,11,남,30,7,1,1,3,3,,6,12,2,1,11,11200,41,41480,28,28260,2,2,2,1,3,2,3,5,서울특별시,전북,2인 여행(가족 외),2022-10-07~2022-10-08,3,,,1
d001196,50,여,30,5,1,2,3,4,,2,10,3,6,50,50130,42,42230,46,46150,4,1,1,1,6,4,6,7,제주특별자치도,제주,3인 이상 여행(가족 외),2022-09-20~2022-09-22,9,2,5,2
c002512,41,남,30,6,1,1,2,3,,4,4,3,3,50,50110,48,48220,46,46130,2,2,1,3,3,6,4,5,경기도,경남,2인 여행(가족 외),2022-09-22~2022-09-25,2,1,3,1
d009311,50,여,20,6,1,1,2,3,,3,3,4,10,50,50130,42,42150,11,11170,3,1,3,2,4,2,4,4,제주특별자치도,제주,2인 여행(가족 외),2022-10-29~2022-10-30,2,1,3,1
a002098,11,여,20,6,1,1,1,3,,5,,3,6,50,50130,26,26500,41,41110,2,4,1,7,7,4,6,5,서울특별시,인천,2인 여행(가족 외),2022-09-25~2022-09-25,1,7,3,1
d000018,11,여,20,6,2,1,4,,2,1,12,3,2,50,50130,42,42150,26,26710,3,1,5,5,1,4,6,1,서울특별시,제주,3인 이상 여행(가족 외),2022-08-13~2022-08-16,2,3,1,2
d004084,41,여,20,7,1,1,2,2,,5,7,2,1,42,42150,11,11290,42,42750,1,1,1,3,6,5,6,6,경기도,제주,2인 여행(가족 외),2022-10-20~2022-10-22,2,1,3,1
d010680,11,여,20,6,1,1,1,2,,4,,3,5,42,42150,42,42830,41,41220,6,1,4,4,4,5,4,7,서울특별시,제주,나홀로 여행,2022-11-05~2022-11-07,7,,,0
d002398,27,여,30,6,1,1,1,13,,4,,1,1,26,26350,48,48270,50,50130,1,1,1,1,1,1,7,1,대구광역시,제주,나홀로 여행,2022-10-17~2022-10-19,2,1,7,0
d007532,26,여,20,6,3,1,1,12,,1,,3,2,50,50110,50,50130,26,26350,5,4,2,4,2,4,2,4,부산광역시,제주,나홀로 여행,2022-10-24~2022-10-27,2,1,4,0
